developerCountry,countryCode,userRatingCount,primaryGenreName,downloads,deviceType,hasPrivacyLink,hasTermsOfServiceLink,hasTermsOfServiceLinkRating,isCorporateEmailScore,adSpent,appAge,averageUserRating,appContentBrandSafetyRating,appDescriptionBrandSafetyRating,mfaRating,ID,coppaRisk,developerCountry_missing,downloads_min,downloads_max,isCorporateEmailScore_missing,adSpent_missing,appAge_missing,averageUserRating_missing
NORWAY,RO,127731,Sports,6.621405651764134,smartphone,True,True,0,99.0,14.017220031335052,160.4,4.0,1,0,0,-1,0.0,0,500.0,1000.0,0,0,0,0
,GLOBAL,0,Medical,4.330733340286331,GLOBAL,True,False,-1,99.0,7.750848993744848,17.5,0.0,-1,0,0,-1,0.0,1,50.0,100.0,0,1,0,0
UNITED ARAB EMIRATES,CZ,51143,Games,18.132998684833918,GLOBAL,True,True,0,0.0,31.883162966505576,30.766666666666666,4.0,-1,0,0,-1,0.0,0,50000000.0,100000000.0,0,0,0,0
GERMANY,GLOBAL,1074,Games,6.621405651764134,GLOBAL,True,False,-1,99.0,7.750848993744848,71.53333333333333,4.0,-1,0,0,-1,0.0,0,500.0,1000.0,0,1,0,0
,GLOBAL,17,Tools,8.006700845440367,GLOBAL,True,False,-1,99.0,7.750848993744848,52.4,4.0,-1,0,0,-1,0.0,1,1000.0,5000.0,0,1,0,0
,GLOBAL,0,Tools,4.330733340286331,GLOBAL,True,False,-1,0.0,7.750848993744848,37.7,3.0,-1,0,0,-1,0.0,1,50.0,100.0,0,1,0,1
,GLOBAL,237,Games,6.621405651764134,GLOBAL,True,False,-1,0.0,7.750848993744848,88.26666666666665,0.0,1,0,0,-1,1.0,1,500.0,1000.0,1,1,0,0
,GLOBAL,0,Personalization,1.3862943611198906,GLOBAL,True,False,-1,99.0,7.750848993744848,24.23333333333333,3.0,-1,0,0,-1,0.0,1,1.0,5.0,0,1,0,1
,GLOBAL,0,Business,4.330733340286331,GLOBAL,False,False,-1,99.0,7.750848993744848,76.26666666666665,0.0,-1,0,0,-1,0.0,1,50.0,100.0,0,1,0,0
,GLOBAL,0,Entertainment,5.707110264748875,GLOBAL,True,False,-1,0.0,7.750848993744848,71.43333333333334,0.0,-1,0,0,-1,0.0,1,100.0,500.0,0,1,0,0
,GLOBAL,0,Lifestyle,6.621405651764134,GLOBAL,False,False,-1,0.0,7.750848993744848,102.33333333333331,0.0,-1,0,0,-1,0.0,1,500.0,1000.0,1,1,0,0
,,404,Games,10.308985993422082,GLOBAL,True,False,-1,99.0,132.2359626609089,30.166666666666668,4.0,-1,2,0,-1,0.0,1,10000.0,50000.0,0,0,0,0
,GLOBAL,23,Education,10.308985993422082,GLOBAL,True,False,-1,0.0,7.750848993744848,74.33333333333333,3.0,-1,0,0,-1,1.0,1,10000.0,50000.0,0,1,0,0
,GLOBAL,48,Games,6.621405651764134,GLOBAL,False,False,-1,0.0,7.750848993744848,128.76666666666668,4.0,-1,0,0,-1,0.0,1,500.0,1000.0,1,1,0,0
FINLAND,GLOBAL,31,Games,11.225256725762893,tablet,True,False,2,0.0,7.750848993744848,8.966666666666665,3.0,-1,0,0,-1,0.0,0,50000.0,100000.0,0,1,0,0
,GLOBAL,7,Games,3.4339872044851463,GLOBAL,True,False,-1,0.0,7.750848993744848,75.2,5.0,-1,0,0,-1,0.0,1,10.0,50.0,0,1,0,0
